,bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher
0,1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling,4.57,0439785960,9780439785969,eng,652,2095690,27591,2006-09-16,Scholastic Inc.
1,2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling,4.49,0439358078,9780439358071,eng,870,2153167,29221,2004-09-01,Scholastic Inc.
2,5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling,4.56,043965548X,9780439655484,eng,435,2339585,36325,2004-05-01,Scholastic Inc.
3,10546,The Long-Lost Map (Ulysses Moore #2),Pierdomenico Baccalario,4.0,043977439X,9780439774390,eng,272,1693,76,2006-07-01,Scholastic Inc.
4,20086,The Mark of the Crown (Star Wars: Jedi Apprentice  #4),Jude Watson,3.73,0590519344,9780590519342,eng,131,2319,63,1999-10-01,Scholastic Inc.
5,21342,Math Fables,Greg Tang,4.03,043945400X,9780439454001,eng,40,0,0,1949-01-01,Scholastic Inc.
6,22208,Hush! A Thai Lullaby,Minfong Ho,4.03,0531071669,9780531071663,eng,32,1315,197,2000-03-01,Scholastic Inc.
7,23300,The Door to Time (Ulysses Moore  #1),Pierdomenico Baccalario,3.93,0439774381,9780439774383,eng,239,3099,241,2006-01-01,Scholastic Inc.
8,23549,The Journal of Scott Pendleton Collins: A World War 2 Soldier,Walter Dean Myers,3.96,0439050138,9780439050135,eng,140,1132,181,1999-06-01,Scholastic Inc.
9,25321,King of the Middle March,Kevin Crossley-Holland,3.82,0439266017,9780439266017,eng,432,1334,47,2006-03-01,Scholastic Inc.
10,31486,Ruby the Red Fairy (Rainbow Magic  #1),Daisy Meadows,3.84,043973861X,9780439738613,en-US,65,4334,319,2005-05-01,Scholastic Inc.
11,45436,The Wish List,Eoin Colfer,3.77,0439443369,9780439443364,eng,252,13988,589,2004-07-01,Scholastic Inc.
12,4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,0439554896,9780439554893,eng,352,6333,244,2003-11-01,Scholastic Inc.
13,8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling,4.78,0439682584,9780439682589,eng,2690,41428,164,2004-09-13,Scholastic Inc.
14,10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,0439827604,9780439827607,eng,3342,28242,808,2005-09-12,Scholastic Inc.
15,1852,The Call of the Wild,Jack London,3.86,0439227143,9780439227148,eng,172,274649,7203,2001-01-01,Scholastic Inc.
16,1931,Avalanche,Arthur J. Roth,3.65,0590422677,9780590422673,eng,144,273,36,1989-01-01,Scholastic Inc.
17,3119,Hunting the Hunter (On the Run  #6),Gordon Korman,4.21,0439651417,9780439651417,eng,151,1928,85,2006-02-01,Scholastic Inc.
18,3120,Public Enemies (On The Run  #5),Gordon Korman,4.19,0439651409,9780439651400,eng,150,2050,76,2005-12-01,Scholastic Inc.
19,4963,Merry Christmas  Stinky Face,Lisa McCourt,3.97,0439635772,9780439635776,eng,32,20,3,2004-10-01,Scholastic Inc.
20,5370,Amber Brown Is Green With Envy,Paula Danziger,3.95,0439071712,9780439071710,en-GB,160,834,42,2004-08-01,Scholastic Inc.
21,9253,Blubberina (Scrambled Legs  #5),Jahnna N. Malcolm,3.29,0590428888,9780590428880,eng,135,13,0,1989-10-01,Scholastic Inc.
22,10089,Mary  Queen of Scots: Queen Without a Country,Kathryn Lasky,3.83,0439194040,9780439194044,eng,202,4825,148,2002-05-01,Scholastic Inc.
23,12328,How To Draw The Legend Of Zelda    (troll),Michael Teitelbaum,4.21,0439635810,9780439635813,en-US,32,61,7,2004-02-01,Scholastic Inc.
24,17206,Lady Friday (The Keys to the Kingdom  #5),Garth Nix,3.92,0439700884,9780439700887,eng,320,19436,267,2007-03-01,Scholastic Inc.
25,17518,The Trolley Car Family,Eleanor Clymer,4.14,0590407325,9780590407328,eng,256,314,46,1987-07-01,Scholastic Inc.
26,19432,Angels Don't Know Karate (The Adventures Of The Bailey School Kids  #23),Debbie Dadey,3.8,0590849026,9780590849029,en-US,67,741,26,1996-11-01,Scholastic Inc.
27,20127,Persuasive Writing: Mini-Lessons  Strategies  Activities,Tara MacCarthy,3.2,0590209345,9780590209342,eng,64,5,1,1998-08-01,Scholastic Inc.
28,23233,Ten Things I Hate about You,David Levithan,4.11,0439087309,9780439087308,eng,170,1435,65,1999-06-01,Scholastic Inc.
29,24037,The Deep (Dive  #2),Gordon Korman,3.78,0439507235,9780439507233,eng,148,1436,55,2003-07-01,Scholastic Inc.
30,24047,The Stowaway Solution (On The Run  #4),Gordon Korman,4.11,0439651395,9780439651394,eng,160,2041,82,2005-10-01,Scholastic Inc.
31,24050,The Fugitive Factor (On The Run  #2),Gordon Korman,4.13,0439651379,9780439651370,eng,160,2499,151,2005-06-01,Scholastic Inc.
32,24058,The Zucchini Warriors (Macdonald Hall  #5),Gordon Korman,4.01,0590441744,9780590441742,eng,208,1160,42,1991-06-01,Scholastic Inc.
33,24093,Street Magic (The Circle Opens  #2),Tamora Pierce,4.15,0590396439,9780590396431,eng,300,21070,286,2006-11-15,Scholastic Inc.
34,24300,Poppy,Avi,3.96,0689837186,9780689837180,eng,163,6894,501,2005-05-03,Scholastic Inc.
35,25041,The Case of the Snowboarding Superstar (Jigsaw Jones  #29),James Preller,3.98,0439793955,9780439793957,en-US,80,123,13,2006-01-01,Scholastic Inc.
36,25044,The Case Of The Kidnapped Candy (Jigsaw Jones Mystery #30),James Preller,3.75,0439896185,9780439896184,eng,80,104,6,2007-01-01,Scholastic Inc.
37,25752,Blind Flight,Hilary H. Milton,3.63,0590321145,9780590321143,en-US,122,25,5,1982-12-01,Scholastic Inc.
38,27877,Savage Stone Age Sticker Book (Horrible Histories),Terry Deary,4.0,0439959047,9780439959049,eng,20,9,0,2005-08-19,Scholastic Inc.
39,37909,Go Jump in the Pool! (Macdonald Hall  #2),Gordon Korman,4.16,0590442090,9780590442091,eng,192,1419,38,1991-01-01,Scholastic Inc.
40,38709,Holes (Holes  #1),Louis Sachar,3.96,0439244196,9780439244190,eng,233,887554,17547,2000-09-02,Scholastic Inc.
41,39315,Katie's Big Move (Junior Gymnasts  #2),Teddy Slater,3.75,0590859986,9780590859981,eng,77,12,0,1996-12-31,Scholastic Inc.
42,39855,Ten Kids  No Pets,Ann M. Martin,3.91,0590422448,9780590422444,eng,174,88,11,1989-04-01,Scholastic Inc.
43,9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,0976540606,9780976540601,en-US,152,19,1,2005-04-26,Nimble Books
44,12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0517226952,9780517226957,eng,815,3628,254,2005-11-01,Gramercy Books
45,2151,The Complete Novels,Jane Austen,4.55,0517147688,9780517147689,eng,1103,300,31,1995-09-03,Gramercy Books
46,2153,Jane Austen: The Complete Novels,Jane Austen,4.55,0517118297,9780517118290,eng,1103,267,24,1994-06-01,Gramercy Books
47,3597,The Complete Adventures and Memoirs of Sherlock Holmes,Arthur Conan Doyle,4.33,0517174960,9780517174968,eng,334,2184,87,2001-07-01,Gramercy Books
