,Unnamed: 0,work,subjects,people,times,places
0,0,OL82565W,"['orphans', 'foster homes', 'romans', 'magie', 'adolescence', 'Quill Award winner', 'Scottish Children’s Book Award winner', 'British Book of the Year Award winner', 'Fiction', 'Juvenile fiction', 'Magic', 'Schools', 'Witches', 'Wizards', 'New York Times bestseller', 'Fantasy fiction', 'nyt:series_books=2006-07-15', 'nyt:series_books=2006-09-16', 'Romans, nouvelles, etc. pour la jeunesse', 'Sorciers', 'Roman fantastique', 'Merveilleux', 'Hogwarts School of Witchcraft and Wizardry (Imaginary place)', 'Harry Potter (Fictitious character)', 'Hogwarts School of Witchcraft and Wizardry (Imaginary organization)', 'Magos', 'Magia', 'Ficción juvenil', 'Escuelas', 'Novela fantástica', 'England', 'School stories', 'Family', 'Harry Potter (Fictional character)', 'Orphans & Foster Homes', 'Social Themes', 'Fantasy', 'Fantasy & Magic', 'Friendship', 'Reading Level-Grade 11', 'Reading Level-Grade 10', 'Reading Level-Grade 12', 'England, fiction', 'Magic, fiction', 'Schools, fiction', ""Children's fiction"", 'Potter, harry (fictitious character), fiction', 'Wizards, fiction', 'Hogwarts school of witchcraft and wizardry (imaginary organization), fiction', 'Large type books', 'Bengali Detective and mystery stories', 'Hermione Granger (Fictitious character)', 'Ron Weasley (Fictitious character)', 'Good and evil', 'Fantasiewelt', 'Phantastische Literatur', 'Englisch', 'Magic - Fiction', 'Fiction, fantasy, general', 'Warlocks', 'Potter, Harry (Personnage fictif)', 'Magiciens', 'Écoles', 'Poudlard (Organisation imaginaire)']","['Harry Potter', 'Dumbledore', 'Lord Voldemort', 'Draco Malfoy', 'Hermione Granger', 'Ron Weasley', 'Tom Riddle', 'Harry Potter (Fictitious character)', 'Hermine Granger', 'Ron Weasly']",,"['England', 'Hogwarts School of Witchcraft and Wizardry', 'Privet Drive', 'Hogwarts School of Witchcraft and Wizardry (Imaginary organization)']"
1,1,OL82548W,"[""Children's Books/Ages 9-12 Fiction"", 'Witches and warlocks', 'Juvenile audience', 'Juvenile works', 'Magic', 'Fantasy fiction', 'Juvenile fiction', 'Fiction', 'Fantasy', 'Friendship', ""Children's stories"", 'Juvenile literature', 'Magia', 'Novela juvenil', 'Traducciones al español', 'Escuelas', 'Novela inglesa', 'Romans, nouvelles, etc. pour la jeunesse', 'Magiciens', 'Magic in fiction', 'England in fiction', 'Schools in fiction', 'Écoles', 'Schools', 'Sorcières', 'Wizards in fiction', 'Translations from English', 'Coming of age', 'New York Times bestseller', 'Open Library Staff Picks', 'nyt:series_books=2006-09-16', 'School stories', 'Family', 'Orphans & Foster Homes', 'Social Themes', 'Fantasy & Magic', 'Boarding schools', 'Magie', '{acute}Ecoles', 'Sorciaeres', 'Roman pour la jeunesse', 'Romans', 'Witches', 'Sorciers', 'Potter, Harry (Personnage fictif)', 'Hogwarts School of Witchcraft and Wizardry (Imaginary place)', 'Harry Potter (Fictitious character)', 'Potter, Harry (Fictitious character)', 'English Fantasy fiction', 'Hogwarts School of Witchcraft and Wizardry (Imaginary organization)', 'Arabic language materials', 'Magos', 'Ficción juvenil', 'Novela fantástica', 'England', 'Wizards', 'Witchcraft', 'Severus Snape (Fictitious character)', 'Reading Level-Grade 11', 'Reading Level-Grade 12', 'Lebensrettung', 'Conduct of life', 'Internat', 'Junge', 'Weissagung', 'Existenzkampf', 'Fabeltiere', 'Boarding school students', 'Military aspects', 'Parapsychology', 'Das Böse', 'Magier', 'Lebensgefahr', 'Schüler', 'Freundschaft', 'Rollentausch', 'Jugendgruppe', 'Youth', 'Telepathie', 'Das Gute', 'Dueling', 'Teacher-student relationships', 'Außenseiter', 'Imaginärer Schauplatz', 'Hate', 'Large type books', 'Potter, harry (fictitious character), fiction', 'Hogwarts school of witchcraft and wizardry (imaginary organization), fiction', 'Wizards, fiction', ""Children's fiction"", 'Magic, fiction', 'Schools, fiction', 'England, fiction', 'English literature', 'Hermione Granger (Fictitious character)', 'Ron Weasley (Fictitious character)', 'Schools - Fiction', 'Coming of age - Fiction', 'Magic - Fiction', 'Fiction, fantasy, general', 'Adventure and adventurers, fiction', 'Friendship, fiction', 'Poudlard (Organisation imaginaire)', 'Spanish language', 'Reading materials', 'Romans, nouvelles', 'Hogwarts Schools of Witchcraft and Wizardry (Imaginary Place)', 'Eventyrlige fortællinger', 'Troldmænd', 'Magi']","['Harry Potter', 'Albus Dumbledore', 'Hagrid', 'Ron Weasley', 'Hermione Granger', 'Lord Voldemort', 'Severus Snape', 'Dudley Dursley', 'Hermine Granger', 'Ron Weasly', 'Harry Potter (Fictitious character)', 'Hermione Granger (Fictitious character)', 'Ron Weasley (Fictitious character)']",,"['England', 'Hogwarts Schools of Witchcraft and Wizardry', 'Grimmauld Place', 'Privet Drive', 'Angleterre']"
2,2,OL82537W,"['Fantasy fiction', 'school stories', 'Fiction', 'Fantasy', 'Nestlé Smarties Book Prize winner', 'Juvenile fiction', 'Wizards', 'Magic', 'Schools', 'Spanish language materials', 'Magia', 'Escuelas', 'Ficción juvenil', 'Novela fantástica', 'Hogwarts School of Witchcraft and Wizardry (Imaginary place)', 'Harry Potter (Fictitious character)', 'Wizards -- Juvenile fiction', 'Witches', 'Hogwarts School of Witchcraft and Wizardry (Imaginary organization)', 'Magos', 'Translations from English', 'Chinese fiction', 'Orphans', 'Aunts', 'Uncles', 'Cousins', 'Determination (Personality trait) in children', 'Friendship', 'Potter, Harry (Fictitious character)', 'Witches Fiction', 'Wizards Fiction', 'Schools Fiction', 'England Fiction', 'Magic -- Juvenile fiction', 'Hogwarts School of Witchcraft and Wizardry (Imaginary place) -- Juvenile fiction', 'Schools -- Juvenile fiction', 'Wizards -- Fiction', 'Magic -- Fiction', 'Schools -- Fiction', 'England -- Juvenile fiction', 'England -- Fiction', 'Fantasy & Magic', 'Action & Adventure', 'Witchcraft', 'Harry Potter (Fictional character)', 'Engels', 'Social Themes', 'Reading Level-Grade 11', 'Reading Level-Grade 12', 'Schools, fiction', 'England, fiction', 'Potter, harry (fictitious character), fiction', 'Hogwarts school of witchcraft and wizardry (imaginary organization), fiction', 'Wizards, fiction', 'Magic, fiction', ""Children's fiction"", 'Adventure and adventurers, fiction', 'English literature', 'Fiction, fantasy, general', 'Large type books', 'Hermione Granger (Fictitious character)', 'Ron Weasley (Fictitious character)', 'Latin language materials', ""Children's stories"", 'Magiciens', 'Romans, nouvelles, etc. pour la jeunesse', 'Nécromancie', 'Écoles', 'Potter, Harry (Personnage fictif)', 'Romans, nouvelles', 'Magie', 'Family', 'Orphans & Foster Homes', 'Magía', 'Novela juvenil', 'Juvenile', ""Children's stories, English"", 'Sieg', 'Basilisk', 'Das Böse', 'Das Gute', 'Internat', 'Lebensgefahr', 'Lebensrettung', 'List', 'Magier', 'Jugendbuch', 'Kampf', 'Schule', 'Basilisk (Fabeltier)', 'Junge', 'Phönix', 'Deutschland Grenzschutzkommando Mitte Schule', 'Deutschland', 'Friendship, fiction', 'Hogwartes School of Witchcraft and Wizardry (Imaginary place)', 'General', 'Social Issues', 'Witches, fiction', 'English Fantasy literature', 'Translations into Marathi']","['Harry Potter', 'Hermione Granger', 'Ron Weasley', 'Albus Dumbledore', 'Hagrid', 'The Dursleys', 'Gilderoy Lockhart', 'Dobby', 'Moaning Myrtle', 'Ginny Weasley', 'Draco Malfoy', 'Hermine Granger', 'Ron Weasly', 'Harry Potter (Fictitious character)', 'J.K Rowling']",['?'],"['England', 'London', 'Hogwarts School of Witchcraft and Wizardry', 'Inglaterra', 'Privet Drive', 'London (England)']"
3,3,OL82536W,"['Fantasy fiction', 'orphans', 'foster homes', 'fantasy', 'literature', 'juvenile fantasy fiction', 'Locus Award winner', 'Bram Stoker Award winner', 'Whitbread Book Award winner', 'Adventure', 'Juvenile literature', 'Juvenile works', 'Juvenile audience', ""Children's books"", 'Magic', 'Open Library Staff Picks', 'Juvenile fiction', 'Wizards', 'New York Times bestseller', 'Schools', 'nyt:series_books=2006-09-16', 'Science Fiction, Fantasy, & Magic', 'Hogwarts School of Witchcraft and Wizardry (Imaginary place)', 'Witches', 'Harry Potter (Fictitious character)', 'Ficción juvenil', 'Magos', 'Magia', 'Hogwarts School of Witchcraft and Wizardry (Imaginary organization)', ""Children's Books/Ages 9-12 Fiction"", 'Spanish: Grades 4-7', 'General', 'Potter, Harry (Fictitious character)', 'Potter, Harry (Caracter ficticio)', 'Hogwarts School of Witchcraft and Wizardry (Lugar imaginario)', 'Escuelas', 'Spanish language', 'Literatura juvenil', 'Harry Potter (Fictional character)', 'Orphans & Foster Homes', 'Fantasy & Magic', 'French language materials', 'School stories', 'Family', 'Fiction', 'Social Themes', 'Friendship', 'Reading Level-Grade 9', 'Reading Level-Grade 11', 'Reading Level-Grade 10', 'Reading Level-Grade 12', 'Translations from English', 'Chinese language materials', 'England', 'Chinese fiction', 'Tong hua', 'England, fiction', 'Potter, harry (fictitious character), fiction', 'Schools, fiction', ""Children's fiction"", 'Wizards, fiction', 'Hogwarts school of witchcraft and wizardry (imaginary organization), fiction', 'Magic, fiction', 'Fiction, fantasy, general', 'Magie', 'Magiciens', 'Schulferien', 'Deutschland', 'Verrat', 'Freundschaft', 'Romans, nouvelles, etc. pour la jeunesse', 'Junge', 'Good and evil', 'Jugendgruppe', 'Fabeltiere', 'Lüge', 'Rache', 'Boarding schools', 'Deutschland Grenzschutzkommando Mitte Schule', 'Potter, Harry (Personnage fictif)', 'English literature', 'Hermione Granger (Fictitious character)', 'Ron Weasley (Fictitious character)', 'Large type books', 'Juvenile films', 'Películas cinematográficas juveniles', 'Hechiceros', 'Potter, Harry (Personaje literario)', 'Children stories', 'Novela juvenil', 'Reading materials', 'Adventure and adventurers, fiction', 'Friendship, fiction', 'Witches, fiction', 'English Fantasy literature', 'Translations into Marathi']","['Harry Potter', 'Hermione Granger', 'Ron Weasley', 'Sirius Black', 'Albus Dumbledore', 'Lord Voldemort', 'Professor Trelawney', 'Harry Potter (Fictitious character)', 'Hermine Granger', 'Ron Weasly']",,"['England', 'Azkaban', 'Hogwarts School of Witchcraft and Wizardry (Imaginary place)']"
4,4,OL15267443W,"['Potter, harry (fictitious character), fiction', 'Hogwarts school of witchcraft and wizardry (imaginary organization), fiction', 'Wizards, fiction', 'Fantasy fiction', ""Children's fiction"", 'Magic, fiction', 'Schools, fiction', 'England, fiction']",,,
5,5,OL8842692W,"['Characters', 'Harry Potter', ""Children's stories, English"", 'English Fantasy fiction', 'Wizards in literature', 'Magic in literature']",,,
6,6,OL15267565W,"['England, fiction', 'Fantasy fiction', 'Magic, fiction', 'Schools, fiction', ""Children's fiction"", 'Potter, harry (fictitious character), fiction', 'Wizards, fiction', 'Hogwarts school of witchcraft and wizardry (imaginary organization), fiction', 'Adventure and adventurers, fiction']",,,
7,7,OL2163706W,"['comic science fiction', 'Vogons', 'Humorous fiction', 'Imaginary voyages', 'wit and humour', 'Science Fiction', 'Interstellar travel', 'Fiction', 'Interplanetary voyages', 'Life on other planets', 'Humorous stories', 'fantasy fiction', 'English Humorous stories', 'English Science fiction', 'Humorous stories, English', 'Science fiction, English', 'English literature', 'Fiction, science fiction, action & adventure', 'Dent, arthur (fictitious character), fiction', 'Prefect, ford (fictitious character), fiction', 'Short stories', 'Fiction, science fiction, general', 'Fiction, humorous, general']","['Arthur Dent', 'Ford Prefect', 'Zaphod Beeblebrox', 'Marvin', 'Trisha MacMillan', 'Slartibartfast', 'Deep Thought']",,"['Earth', 'London', 'Islington', 'Galaxy', 'Heart of Gold', 'Magrathea', 'Milliways']"
8,8,OL2163649W,"['comic science fiction', 'Vogons', 'Humorous fiction', 'Imaginary voyages', 'wit and humour', 'Science Fiction', 'Interstellar travel', 'Fiction', 'Interplanetary voyages', 'Open Library Staff Picks', 'Life on other planets', 'Ford Prefect (Fictitious character)', 'Arthur Dent (Fictitious character)', 'Humorous stories', 'Viajes interplanetarios', 'Ficción', 'Language readers', 'Reading Level-Grade 11', 'Reading Level-Grade 12', 'Radio plays', 'English literature', 'Fiction, science fiction, general', 'Fiction, humorous', 'Dent, arthur (fictitious character), fiction', 'Prefect, ford (fictitious character), fiction', 'Fiction, science fiction, action & adventure', 'Christian life', 'Indians of North America', 'Science-fiction', 'Fiction, humorous, general', 'New age movement', 'Fiction, action & adventure', 'English language']","['Ford Prefect', 'Arthur Dent', 'Zaphod Beeblebrox', 'Marvin', 'Trisha MacMillan', 'Slartibartfast', 'Deep Thought']",,"['Galaxy', 'Earth', 'Heart of Gold', 'Magrathea', 'The Restaurant at the End of the Universe']"
9,9,OL74128W,"['Science', 'Popular works', 'Ciencia', 'Obras populares', 'Science, popular works', 'Obras de divulgacio n.', 'Natuurwetenschappen', 'Sciences', 'Ouvrages de vulgarisation', 'Wetenschapsbeoefening', 'Origin', 'Life', 'Humor', 'Travel', 'Philosophy', 'Culture', 'Nonfiction', 'Open Library Staff Picks', 'Human beings', 'popular science', 'Long Now Manual for Civilization', 'Reading Level-Grade 11', 'Reading Level-Grade 12', '30.01 history of the exact sciences', 'Einführung', 'Naturwissenschaften', 'Wetenschapsfilosofie', 'Natuurlijke historie', 'Einfu hrung', 'Large type books', 'Allgemeinwissen', 'Cosmology', 'Geology. Earth sciences']",,,['Earth']
