work,subjects_d1,subjects_d2,people_d1,people_d2,places_d1,places_d2,times_d1,times_d2
OL82565W,-0.38118097,-1.9434627,-9.124953,16.229214,12.280761,6.544234,0.0,0.0
OL82548W,-0.36752847,-1.923,-9.159053,16.21021,12.223566,6.601341,0.0,0.0
OL82537W,-0.36766174,-1.9017076,-9.14345,16.222828,12.154635,6.4451475,-22.34922,26.440563
OL82536W,-0.37679857,-1.92746,-9.122366,16.229145,27.212374,12.14435,0.0,0.0
OL15267443W,-0.8782208,-2.327839,0.0,0.0,0.0,0.0,0.0,0.0
OL8842692W,-8.508649,-7.9591336,0.0,0.0,0.0,0.0,0.0,0.0
OL15267565W,-0.91363806,-2.347546,0.0,0.0,0.0,0.0,0.0,0.0
OL2163706W,1.7170608,-3.4485419,-15.05283,12.952637,0.075081006,0.23988833,0.0,0.0
OL2163649W,1.7138647,-3.492058,-15.052987,12.951765,0.06867109,0.23057362,0.0,0.0
OL74128W,-8.674858,-4.890817,0.0,0.0,0.06841643,0.25296843,0.0,0.0
OL4620939W,-7.826478,-6.936718,0.0,0.0,-18.437675,7.270734,0.0,0.0
OL74116W,-7.652252,-3.5960677,0.0,0.0,0.0,0.0,0.0,0.0
OL74127W,-7.888383,-6.922791,17.054796,18.168291,-19.638685,9.5146,13.535626,9.321599
OL74117W,-7.7993994,-6.770031,17.054792,18.168291,-24.776783,6.2257395,-16.767803,28.419615
OL74124W,-7.8283587,-6.8766875,17.05479,18.16829,-6.3722315,7.7405415,-16.798052,28.478874
OL74125W,-7.959694,-6.952394,17.054794,18.168287,-17.572964,10.438234,-22.247555,26.415134
OL74129W,-7.870201,-6.9323087,17.054796,18.168285,-17.079126,8.025071,-13.881577,29.111732
OL74126W,-6.2947245,-4.646508,0.0,0.0,0.0,0.0,0.0,0.0
OL14926019W,-8.855028,-8.239478,0.0,0.0,0.0,0.0,0.0,0.0
OL27448W,-8.863401,-8.24549,-17.834349,17.63989,-18.02522,6.889617,-22.33885,26.925005
OL14933414W,-8.838438,-8.223353,-17.837524,17.61153,-18.084164,6.9759054,0.0,0.0
OL646505W,-8.660212,-7.9105964,-23.797579,14.898358,0.0,0.0,0.0,0.0
OL5753822W,0.22136123,-3.0669475,0.0,0.0,0.0,0.0,0.0,0.0
OL5861185W,-10.926811,-7.333386,0.0,0.0,0.0,0.0,0.0,0.0
OL8125760W,-1.3874509,-3.2274761,-16.44301,16.594688,13.873126,14.751673,-16.750633,28.565544
OL14850035W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OL14850208W,-6.83693,-6.6247396,-22.82973,13.943599,0.0,0.0,3.121681,-9.511803
OL8924360W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OL2007307W,-6.7797136,-3.2092977,0.0,0.0,0.0,0.0,3.193289,-9.16516
OL14909429W,-1.0572844,-4.4940567,0.0,0.0,0.0,0.0,0.0,0.0
OL15842018W,0.032065347,-2.910202,0.0,0.0,14.0353985,20.333181,0.0,0.0
OL92477W,-0.8256354,-2.549219,0.0,0.0,0.0,0.0,0.0,0.0
OL29895W,-2.0412087,-3.4289274,0.0,0.0,0.0,0.0,0.0,0.0
OL3374128W,-3.102011,-5.8535824,0.0,0.0,0.0,0.0,0.0,0.0
OL2907854W,-1.7466656,-6.164847,0.0,0.0,-1.434374,21.517904,18.037918,0.955204
OL4112932W,-3.8121183,-4.8816857,0.0,0.0,-3.9812484,2.540257,0.0,0.0
OL4112928W,-3.8784404,-4.8959556,0.0,0.0,0.0,0.0,0.0,0.0
OL1626206W,-10.827914,-9.050049,0.0,0.0,0.0,0.0,0.0,0.0
OL8929696W,-11.754848,-6.340164,0.0,0.0,0.0,0.0,0.0,0.0
OL116217W,-6.2562747,-3.0944037,0.0,0.0,0.0,0.0,0.0,0.0
OL7986803W,-7.7570047,-6.9096184,0.0,0.0,0.0,0.0,0.0,0.0
OL15213051W,-8.035614,-4.6158905,0.0,0.0,-24.830896,6.310082,0.0,0.0
OL116220W,-8.168054,-5.4787827,0.0,0.0,0.0,0.0,0.0,0.0
OL11293225W,-7.9207606,-6.2513022,0.0,0.0,-24.7718,6.2472477,0.0,0.0
OL16083005W,-7.8810964,-6.8527713,-23.60638,15.342365,-14.33126,1.7472646,0.0,0.0
OL7986801W,-10.948075,-9.281607,0.0,0.0,-1.0218844,11.018096,0.0,0.0
OL7986799W,-6.0262885,-3.2045364,0.0,0.0,0.0,0.0,0.0,0.0
OL21219576W,-10.73586,-9.037783,0.0,0.0,0.0,0.0,0.0,0.0
OL20083722W,-5.301746,-1.745525,0.0,0.0,0.0,0.0,0.0,0.0
OL1752006W,-5.3280687,-1.7016724,0.0,0.0,0.0,0.0,0.0,0.0
OL2666072W,-7.754816,-3.6075206,0.0,0.0,0.0,0.0,0.0,0.0
OL5738331W,-8.397822,-5.6169014,0.0,0.0,0.0,0.0,0.0,0.0
OL8379832W,-6.2005606,-5.427082,0.0,0.0,0.0,0.0,0.0,0.0
OL2666076W,-10.739354,-8.882432,0.0,0.0,-24.841732,6.3188453,0.0,0.0
OL1455042W,-1.8573774,-2.4742289,-23.925158,14.648175,-1.0185827,11.020842,-22.170652,26.402151
OL2666074W,-10.779484,-8.976988,0.0,0.0,-24.7046,6.336822,0.0,0.0
OL521319W,-9.700153,-5.319076,0.0,0.0,0.0,0.0,0.0,0.0
OL5756971W,-1.7290368,-4.2766395,0.0,0.0,0.0,0.0,0.0,0.0
OL5738334W,-8.383711,-5.619241,0.0,0.0,0.0,0.0,0.0,0.0
OL893515W,1.964597,-3.2453206,0.0,0.0,0.0,0.0,0.0,0.0
OL893508W,1.9085698,-3.3614202,0.0,0.0,0.0,0.0,0.0,0.0
OL893526W,1.9602394,-3.2025461,0.0,0.0,0.0,0.0,0.0,0.0
OL5275512W,1.792881,-3.2792244,-23.692188,14.193261,0.0,0.0,3.2016165,-9.297029
OL893502W,1.9560488,-3.2374244,0.0,0.0,0.0,0.0,0.0,0.0
OL893474W,1.926771,-3.3360026,0.0,0.0,0.0,0.0,0.0,0.0
OL5758736W,-8.779858,-7.9787354,0.0,0.0,0.0,0.0,0.0,0.0
OL883475W,-4.493557,-5.772867,0.0,0.0,-8.394836,5.2557898,-22.337759,26.498959
OL14989816W,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
