,isbn,work
0,0439785960,OL82565W
1,0439358078,OL82548W
2,0439554896,OL82537W
3,043965548X,OL82536W
4,0439682584,OL15267443W
5,0976540606,OL8842692W
6,0439827604,OL15267565W
7,0517226952,OL2163706W
8,0345453743,OL2163706W
9,1400052920,OL2163649W
10,0739322206,OL2163649W
11,0517149257,OL2163706W
12,076790818X,OL74128W
13,0767915062,OL4620939W
14,0767910435,OL74116W
15,0767903862,OL74127W
16,076790382X,OL74117W
17,0060920084,OL74124W
18,0380713802,OL74125W
19,0380727501,OL74129W
20,0380715430,OL74126W
21,0345538374,OL14926019W
22,0618517650,OL27448W
23,0618346252,OL14933414W
24,0618260587,OL27448W
25,0618391002,OL646505W
26,0618510826,OL5753822W
27,097669400X,OL5861185W
28,0689840926,OL8125760W
29,1557344493,OL14850035W
30,0385326505,OL14850208W
31,1575606240,OL8924360W
32,1595580271,OL2007307W
33,1595962808,OL14909429W
34,0670059676,OL15842018W
35,0141312629,OL92477W
36,0595321801,OL29895W
37,1590301943,OL3374128W
38,0449146979,OL2907854W
39,0061159174,OL4112932W
40,006076273X,OL4112932W
41,0060749911,OL4112928W
42,0273704745,OL1626206W
43,1932386106,OL8929696W
44,0374517193,OL116217W
45,0374280398,OL7986803W
46,0374519749,OL15213051W
47,0374522596,OL116220W
48,0374518734,OL11293225W
49,0374522871,OL16083005W
50,0374519323,OL7986801W
51,0374516006,OL7986799W
52,0374520658,OL21219576W
53,0822205106,OL20083722W
54,0679734996,OL1752006W
55,1596670231,OL2666072W
56,1581807740,OL5738331W
57,0800793617,OL8379832W
58,0871202867,OL2666076W
59,0753454947,OL1455042W
60,0871209993,OL2666074W
61,0761129588,OL521319W
62,0972016414,OL5756971W
63,1581805632,OL5738334W
64,0441294677,OL893515W
65,0441102670,OL893508W
66,0441172695,OL893526W
67,0765306476,OL5275512W
68,0399128980,OL893502W
69,0765353709,OL893474W
70,0441328008,OL893502W
71,0618212906,OL5758736W
72,034541005X,OL883475W
73,0385732546,OL883475W
74,0785260056,OL14989816W
75,0471780936,OL5840421W
76,0325001537,OL19240315W
77,006076287X,OL275912W
78,0470045299,OL15830330W
79,0072262788,OL5842663W
80,0764569244,OL5964473W
81,0471933821,OL2998724W
82,0764559915,OL5964472W
83,0764584383,OL5964458W
84,0596523696,OL8167652W
85,0806523492,OL15426611W
86,0806525363,OL5740262W
87,0596527314,OL8167684W
88,0143035002,OL267096W
89,0451528611,OL267096W
90,0140449175,OL267096W
91,0822001837,OL8508672W
92,1593080271,OL267096W
93,0486437965,OL267096W
94,1593081774,OL28630162W
95,0778322270,OL15830198W
96,0521313252,OL15860414W
97,0140183957,OL354692W
98,0679767479,OL2687256W
99,0743270797,OL3438000W
100,0932863051,OL5249283W
101,0742508803,OL7796603W
102,0205358624,OL2906923W
103,1557344035,OL8852221W
104,0380720442,OL3910775W
105,0821925326,OL41495W
106,043927169X,OL2800763W
107,0606105263,OL41495W
108,0751506435,OL17570465W
109,006078671X,OL16071866W
110,0743499344,OL5760040W
111,0765313405,OL5825726W
112,1400032490,OL4317744W
113,1400032482,OL4317747W
114,1400032466,OL4317751W
115,0679732527,OL4317750W
116,0312424442,OL1925472W
117,0806930772,OL937383W
118,0140366601,OL1971873W
119,0811201120,OL14948043W
120,080213016X,OL261864W
121,0802131786,OL261866W
122,0802151825,OL261868W
123,0802151787,OL488293W
124,0802151809,OL261865W
125,0811201066,OL261870W
126,0141439637,OL276370W
127,1593080964,OL28609149W
128,1571290532,OL18340972W
129,1565842219,OL159506W
130,0394743040,OL159524W
131,1851681825,OL318816W
132,156656249X,OL25687180W
133,014019553X,OL318857W
134,0394431243,OL7921140W
135,0806501901,OL318899W
136,067943920X,OL7921081W
137,0753453800,OL24034W
138,1402714572,OL24034W
139,1416500294,OL24034W
140,0689854684,OL24034W
141,0517221144,OL24034W
142,1577658051,OL24034W
143,0933121180,OL1919315W
144,0785950109,OL274505W
145,0394800842,OL1898270W
146,0821778250,OL17395302W
147,0060733039,OL469278W
148,8432216062,OL10834W
149,0345413997,OL59733W
150,0441788386,OL59681W
151,0441748600,OL59695W
152,0345316509,OL59698W
153,0765314932,OL59711W
154,0671742515,OL2163629W
155,0345455290,OL2163715W
156,0345476514,OL16603305W
157,0345368436,OL2695226W
158,1417622857,OL2163715W
159,0573650969,OL5745660W
160,0691122946,OL1829528W
161,0393329402,OL520041W
162,0671867423,OL15212266W
163,0395883970,OL72808W
164,0684848155,OL1921185W
165,0140156046,OL1921198W
166,0140119485,OL1921186W
167,0679722947,OL1921188W
168,0743244257,OL1921194W
169,0140179178,OL1921187W
170,0679722955,OL1921184W
171,159420120X,OL2636670W
172,0060930217,OL2636676W
173,0060931671,OL2636665W
174,0140283382,OL2636675W
175,0312423209,OL2636672W
176,0141180633,OL2636662W
177,0143039946,OL2636675W
178,0316724432,OL2636671W
179,0140189300,OL2463101W
180,140004314X,OL500181W
181,0374522219,OL10656714W
182,0679754865,OL500175W
183,0679752862,OL20997417W
184,0374521727,OL500182W
185,0679754857,OL16052202W
186,0307264874,OL500169W
187,0374529949,OL500177W
188,0143039830,OL1682241W
189,0140097317,OL11680292W
190,014009735X,OL1682224W
191,0940650762,OL1682213W
192,0963188925,OL3000168W
193,0312426232,OL1682237W
194,0140115854,OL1682229W
195,0140154078,OL1682232W
196,0805081453,OL15857116W
197,0140178139,OL1682212W
198,0811214982,OL1682217W
199,2742741461,OL14911083W
200,0143036556,OL276557W
201,0446579785,OL3292772W
202,052138673X,OL4741769W
203,0743203046,OL4291077W
204,034543871X,OL2908398W
205,0393318281,OL101954W
206,1599869942,OL71633W
207,0806519606,OL2982341W
208,0822549204,OL2727923W
209,0932813860,OL15051877W
210,0373792689,OL19115952W
211,0974514055,OL5861186W
212,0764585975,OL7796875W
213,0307281701,OL2430140W
214,0812969707,OL8052792W
215,0060255080,OL273768W
216,0330485385,OL5962664W
217,159413023X,OL5962664W
218,0345360354,OL510271W
219,0321303474,OL5860914W
220,0321430840,OL710818W
221,3822840858,OL2395648W
222,0743264460,OL5844638W
223,0743236017,OL5844640W
224,0553572490,OL15334751W
225,0060589469,OL827357W
226,0802789471,OL495078W
227,0688060692,OL4469131W
228,185960515X,OL2030688W
229,1592530877,OL23991188W
230,0451528808,OL267162W
231,0192833987,OL267171W
232,0486451380,OL14936838W
233,0452011876,OL731735W
234,0451163087,OL731734W
235,0452286751,OL731663W
236,0451163931,OL731731W
237,0452281253,OL731737W
238,0451187849,OL731732W
239,0451147952,OL731728W
240,0452274044,OL731717W
241,0471791431,OL15856625W
242,0553803816,OL6215253W
243,0375755195,OL108869W
244,1592283195,OL18284470W
245,0975599518,OL2917271W
246,0374502005,OL1937853W
247,0307263940,OL28299W
248,0312405545,OL23876138W
249,019517013X,OL1898163W
250,1400079497,OL74664W
251,0688171621,OL1959419W
252,0060932686,OL10341975W
253,1400034957,OL274574W
254,0307350428,OL274505W
255,0307350444,OL468850W
256,140003454X,OL274553W
257,1400095808,OL468803W
258,0375708111,OL7920354W
259,086171492X,OL4759493W
260,184353584X,OL2651102W
261,1740594770,OL8875431W
262,8408064762,OL31206378W
263,1740592050,OL2088400W
264,0618710531,OL8219461W
265,0060512806,OL38494W
266,2228894168,OL14911612W
267,0060733357,OL38483W
268,0060593083,OL38495W
269,0553383442,OL14911607W
270,0380816032,OL38467W
271,0553380966,OL38499W
272,0553383434,OL14911628W
273,0060833181,OL38481W
274,0553380958,OL38501W
275,1880685353,OL15893911W
