title,authors,average_rating,num_pages,ratings_count,text_reviews_count,publisher,publication_year,editions_by_work,work_ratings_count,author_ratings_count,publisher_ratings_count,cross_publisher_author_ratings_count,is_series,engagement,subjects_d1,subjects_d2,people_d1,people_d2,places_d1,places_d2,times_d1,times_d2,lang_en-GB,lang_en-US,lang_eng,lang_fre,lang_ger,lang_others,lang_spa
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling,4.57,652,2095690,27591,Scholastic Inc.,2006.0,4.0,2102082.0,9005888,7968053,6664445,1,0.013165592239310204,-0.38118097,-1.9434627,-9.124953,16.229214,12.280761,6.544234,0.0,0.0,0,0,1,0,0,0,0
Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling,4.49,870,2153167,29221,Scholastic Inc.,2004.0,2.0,2158804.0,9005888,7968053,6664445,1,0.013571172138528967,-0.36752847,-1.923,-9.159053,16.21021,12.223566,6.601341,0.0,0.0,0,0,1,0,0,0,0
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling,4.56,435,2339585,36325,Scholastic Inc.,2004.0,4.0,2343069.0,9005888,7968053,6664445,1,0.015526257861971248,-0.37679857,-1.92746,-9.122366,16.229145,27.212374,12.14435,0.0,0.0,0,0,1,0,0,0,0
The Long-Lost Map (Ulysses Moore #2),Pierdomenico Baccalario,4.0,272,1693,76,Scholastic Inc.,2006.0,1.0,1693.0,4792,7968053,4792,1,0.0448907265209687,-1.5355016,-2.8463051,0.0,0.0,0.6423903,-2.7860775,10.820005,22.687752,0,0,1,0,0,0,0
The Mark of the Crown (Star Wars: Jedi Apprentice  #4),Jude Watson,3.73,131,2319,63,Scholastic Inc.,1999.0,1.0,2319.0,3159,7968053,2319,1,0.027166882276843468,-8.229675,-3.420387,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Math Fables,Greg Tang,4.03,40,0,0,Scholastic Inc.,1949.0,1.0,0.0,0,7968053,0,0,0.0,-1.8690679,-1.6135142,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Hush! A Thai Lullaby,Minfong Ho,4.03,32,1315,197,Scholastic Inc.,2000.0,1.0,1315.0,1315,7968053,1315,0,0.14980988593155894,-7.01542,0.4168693,0.0,0.0,-24.41145,6.3138175,0.0,0.0,0,0,1,0,0,0,0
The Door to Time (Ulysses Moore  #1),Pierdomenico Baccalario,3.93,239,3099,241,Scholastic Inc.,2006.0,1.0,3099.0,4792,7968053,4792,1,0.07776702161987738,-1.4092066,-2.844253,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
The Journal of Scott Pendleton Collins: A World War 2 Soldier,Walter Dean Myers,3.96,140,1132,181,Scholastic Inc.,1999.0,1.0,1132.0,57303,7968053,1132,0,0.1598939929328622,-4.931882,-5.578135,0.0,0.0,4.0543175,26.593353,-21.98902,26.326872,0,0,1,0,0,0,0
King of the Middle March,Kevin Crossley-Holland,3.82,432,1334,47,Scholastic Inc.,2006.0,1.0,1334.0,1450,7968053,1334,0,0.03523238380809595,-1.7313669,-2.7407403,-20.743568,17.335873,-1.4092579,21.430502,-22.860275,26.806156,0,0,1,0,0,0,0
Ruby the Red Fairy (Rainbow Magic  #1),Daisy Meadows,3.84,65,4334,319,Scholastic Inc.,2005.0,1.0,4334.0,13270,7968053,4334,1,0.07360406091370558,-0.8268865,-2.0542629,-23.966764,14.5147085,-18.23988,7.2738085,-22.202316,25.901543,0,1,0,0,0,0,0
The Eternity Code (Artemis Fowl  #3),Eoin Colfer,4.04,309,221,13,Scholastic Inc.,2003.0,4.0,2085.0,43111,7968053,14209,1,0.058823529411764705,-0.95306534,-2.406546,-21.69354,15.218786,11.685681,-0.18672417,0.0,0.0,0,0,1,0,0,0,0
The Wish List,Eoin Colfer,3.77,252,13988,589,Scholastic Inc.,2004.0,2.0,13990.0,43111,7968053,14209,0,0.04210752073205605,-0.60043705,-3.542956,0.0,0.0,12.317269,23.615807,0.0,0.0,0,0,1,0,0,0,0
Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,352,6333,244,Scholastic Inc.,2003.0,5.0,2301408.0,9005888,7968053,6664445,1,0.038528343597031424,-0.36766174,-1.9017076,-9.14345,16.222828,12.154635,6.4451475,-22.34922,26.440563,0,0,1,0,0,0,0
Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling,4.78,2690,41428,164,Scholastic Inc.,2004.0,1.0,41428.0,9005888,7968053,6664445,1,0.003958675292072994,-0.8782208,-2.327839,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,3342,28242,808,Scholastic Inc.,2005.0,1.0,28242.0,9005888,7968053,6664445,1,0.028609871822108914,-0.91363806,-2.347546,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
The Call of the Wild,Jack London,3.86,172,274649,7203,Scholastic Inc.,2001.0,4.0,277080.0,435335,7968053,274649,0,0.026226201442568514,-2.8559864,-2.7482784,0.0,0.0,-14.39586,1.821221,17.083838,1.1488136,0,0,1,0,0,0,0
Avalanche,Arthur J. Roth,3.65,144,273,36,Scholastic Inc.,1989.0,1.0,273.0,273,7968053,273,0,0.13186813186813187,-1.3447206,-2.9235723,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Hunting the Hunter (On the Run  #6),Gordon Korman,4.21,151,1928,85,Scholastic Inc.,2006.0,1.0,1928.0,40264,7968053,17143,1,0.044087136929460584,-1.3284059,-2.6891747,0.0,0.0,0.0,0.0,-22.559454,26.78903,0,0,1,0,0,0,0
Public Enemies (On The Run  #5),Gordon Korman,4.19,150,2050,76,Scholastic Inc.,2005.0,1.0,2050.0,40264,7968053,17143,1,0.037073170731707315,-1.418754,-2.6556404,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Merry Christmas  Stinky Face,Lisa McCourt,3.97,32,20,3,Scholastic Inc.,2004.0,1.0,20.0,24,7968053,20,0,0.15,-2.103763,-1.9072326,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Amber Brown Is Green With Envy,Paula Danziger,3.95,160,834,42,Scholastic Inc.,2004.0,1.0,834.0,8320,7968053,834,0,0.050359712230215826,-2.4416351,-2.5705132,0.0,0.0,11.690684,-0.20106232,0.0,0.0,1,0,0,0,0,0,0
Blubberina (Scrambled Legs  #5),Jahnna N. Malcolm,3.29,135,13,0,Scholastic Inc.,1989.0,1.0,13.0,98,7968053,13,1,0.0,-2.6727529,-1.6518915,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Mary  Queen of Scots: Queen Without a Country,Kathryn Lasky,3.83,202,4825,148,Scholastic Inc.,2002.0,1.0,4825.0,67168,7968053,35589,0,0.03067357512953368,-1.5354723,-2.804032,1.0554745,-10.552164,3.910488,26.453115,-22.364931,27.069757,0,0,1,0,0,0,0
How To Draw The Legend Of Zelda    (troll),Michael Teitelbaum,4.21,32,61,7,Scholastic Inc.,2004.0,1.0,61.0,61,7968053,61,0,0.11475409836065574,-11.739248,-6.3100953,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
Lady Friday (The Keys to the Kingdom  #5),Garth Nix,3.92,320,19436,267,Scholastic Inc.,2007.0,1.0,19436.0,20748,7968053,19436,1,0.013737394525622556,-0.86568457,-2.5297434,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
The Trolley Car Family,Eleanor Clymer,4.14,256,314,46,Scholastic Inc.,1987.0,1.0,314.0,314,7968053,314,0,0.1464968152866242,-1.5392252,-2.6576934,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
Angels Don't Know Karate (The Adventures Of The Bailey School Kids  #23),Debbie Dadey,3.8,67,741,26,Scholastic Inc.,1996.0,1.0,741.0,12117,7968053,741,1,0.03508771929824561,-1.5914761,-2.14948,-23.245632,12.885576,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0
Persuasive Writing: Mini-Lessons  Strategies  Activities,Tara MacCarthy,3.2,64,5,1,Scholastic Inc.,1998.0,1.0,5.0,24,7968053,5,0,0.2,-10.759034,-8.85674,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0
